# calculated from Scheldemonitor
# Daggemiddeld debiet in m3/s or Dag gemiddeld debiet in m³/s
# locatie Grens België-Nederland calc/Zeeschelde
# year - year
# month - month
# monthlymean - monthly mean Q in m3/d
# date - constructed date
2009;12;159.24763904511735;2009-12-15
2010;1;148.8208660484848;2010-01-15
2010;2;168.02247211162066;2010-02-15
2010;3;156.63048062035944;2010-03-15
2010;4;87.67504793560646;2010-04-15
2010;5;70.43827876023715;2010-05-15
2010;6;44.61532277554945;2010-06-15
2010;7;46.44952890130972;2010-07-15
2010;8;77.44934314097408;2010-08-15
2010;9;89.59531380493762;2010-09-15
2010;10;91.23076152000229;2010-10-15
2010;11;211.3095131785328;2010-11-15
2010;12;164.45341714698816;2010-12-15
2011;1;257.46184348848425;2011-01-15
2011;2;134.28271396340318;2011-02-15
2011;3;94.13517908209799;2011-03-15
2011;4;62.48568833326136;2011-04-15
2011;5;41.13084957755187;2011-05-15
2011;6;54.9804745844634;2011-06-15
2011;7;56.529217840782735;2011-07-15
2011;8;89.89335929802348;2011-08-15
2011;9;70.22466568989246;2011-09-15
2011;10;56.45574715784784;2011-10-15
2011;11;49.40907141145616;2011-11-15
2011;12;193.05057664598502;2011-12-15
2012;1;217.10224000178783;2012-01-15
2012;2;120.37334495695495;2012-02-15
2012;3;127.33586659085447;2012-03-15
2012;4;104.88661845540918;2012-04-15
2012;5;107.11035956115042;2012-05-15
2012;6;104.58562782949683;2012-06-15
2012;7;112.70248504952396;2012-07-15
2012;8;50.64531021958645;2012-08-15
2012;9;52.02485478911478;2012-09-15
2012;10;105.4041308730771;2012-10-15
2012;11;109.50972148629528;2012-11-15
2012;12;284.185800000775;2012-12-15
2013;1;221.2460901047161;2013-01-15
2013;2;251.23931570722291;2013-02-15
2013;3;185.10003016559887;2013-03-15
2013;4;110.5772376169352;2013-04-15
2013;5;121.86218095021378;2013-05-15
2013;6;86.30299249431572;2013-06-15
2013;7;63.24954726667311;2013-07-15
2013;8;50.51435430037306;2013-08-15
2013;9;56.476921139990516;2013-09-15
2013;10;88.0174825336604;2013-10-15
2013;11;205.73611283817468;2013-11-15
2013;12;133.39627342804886;2013-12-15
2014;1;224.3029515863843;2014-01-15
2014;2;220.30351949419713;2014-02-15
2014;3;120.46540530584474;2014-03-15
2014;4;76.30348230777389;2014-04-15
2014;5;84.46822001655748;2014-05-15
2014;6;66.41234828370155;2014-06-15
2014;7;87.70685238079521;2014-07-15
2014;8;106.15558334862313;2014-08-15
2014;9;67.25113422403064;2014-09-15
2014;10;78.69918217800446;2014-10-15
2014;11;95.13469321350843;2014-11-15
2014;12;148.28707685003744;2014-12-15
2015;1;293.2860738622999;2015-01-15
2015;2;209.15681599805353;2015-02-15
2015;3;141.69182944369237;2015-03-15
2015;4;111.55735224320256;2015-04-15
2015;5;72.6152885802677;2015-05-15
2015;6;51.87422632334204;2015-06-15
2015;7;39.375129300023;2015-07-15
2015;8;52.19637099691041;2015-08-15
2015;9;61.23615581009775;2015-09-15
2015;10;49.79731620253642;2015-10-15
2015;11;76.44409650742972;2015-11-15
2015;12;123.09567746643684;2015-12-15
2016;1;193.5902357238617;2016-01-15
2016;2;319.5115863169653;2016-02-15
2016;3;172.6664417995481;2016-03-15
2016;4;104.77696817930216;2016-04-15
2016;5;82.58922069378406;2016-05-15
2016;6;316.7096773775175;2016-06-15
2016;7;96.42685274829752;2016-07-15
2016;8;64.85951385903435;2016-08-15
2016;9;41.613341009133464;2016-09-15
2016;10;52.01275085487637;2016-10-15
2016;11;94.69767567852028;2016-11-15
2016;12;72.42847706279044;2016-12-15
2017;1;121.2140890509297;2017-01-15
2017;2;134.47891063758212;2017-02-15
2017;3;155.90232817759798;2017-03-15
2017;4;64.91514225200571;2017-04-15
2017;5;53.62669244637943;2017-05-15
2017;6;40.74694818011093;2017-06-15
2017;7;49.12117515497988;2017-07-15
2017;8;47.64284920829778;2017-08-15
2017;9;55.15513662249636;2017-09-15
2017;10;55.433986716630606;2017-10-15
2017;11;76.20429911464599;2017-11-15
2017;12;206.48507591653316;2017-12-15
2018;1;239.67255944363401;2018-01-15
2018;2;148.39908815045266;2018-02-15
2018;3;145.99192256613097;2018-03-15
2018;4;95.13005979117425;2018-04-15
2018;5;68.80214074466095;2018-05-15
2018;6;50.8673521080917;2018-06-15
2018;7;32.70479976868583;2018-07-15
2018;8;38.3037272495571;2018-08-15
2018;9;38.8401481417895;2018-09-15
2018;10;37.63721062608614;2018-10-15
2018;11;47.98945828555999;2018-11-15
2018;12;87.5260669669278;2018-12-15
2019;1;94.05001179951745;2019-01-15
2019;2;136.44844572657516;2019-02-15
2019;3;154.98554666761896;2019-03-15
2019;4;67.25885622089093;2019-04-15
2019;5;58.85409954103458;2019-05-15
2019;6;65.83357306740866;2019-06-15
2019;7;38.255783287805436;2019-07-15
2019;8;37.17190539449609;2019-08-15
2019;9;34.126548828181505;2019-09-15
2019;10;60.698368595554406;2019-10-15
2019;11;74.13857181518951;2019-11-15
2019;12;131.18031619989722;2019-12-15
2020;1;115.68237563732444;2020-01-15
2020;2;248.27886876387916;2020-02-15
2020;3;251.21124349909772;2020-03-15
2020;4;79.38286880441258;2020-04-15
2020;5;47.43987534295493;2020-05-15
2020;6;45.28060410191084;2020-06-15
2020;7;38.72755965597074;2020-07-15
2020;8;34.83311904296109;2020-08-15
2020;9;40.63768192413913;2020-09-15
2020;10;63.04279989848428;2020-10-15
2020;11;62.05722755846;2020-11-15
2020;12;106.83173610597048;2020-12-15
2021;1;230.65098612286306;2021-01-15
2021;2;216.87448914434506;2021-02-15
2021;3;119.89477382569484;2021-03-15
2021;4;81.11406188391666;2021-04-15
2021;5;81.07952579480852;2021-05-15
2021;6;91.07625907785712;2021-06-15
2021;7;190.87479783298934;2021-07-15
2021;8;94.25190500246325;2021-08-15
2021;9;50.65298785044815;2021-09-15
2021;10;94.18957677063047;2021-10-15
2021;11;115.80585857579625;2021-11-15
2021;12;226.80264988832315;2021-12-15
2022;1;217.1463708421352;2022-01-15
2022;2;203.83199440825328;2022-02-15
2022;3;96.08651155284885;2022-03-15
2022;4;83.25642966664704;2022-04-15
2022;5;58.08770497576248;2022-05-15
2022;6;61.9291765062871;2022-06-15
2022;7;37.074667312804266;2022-07-15
2022;8;30.341000638925845;2022-08-15
2022;9;58.23346610404524;2022-09-15
2022;10;50.24875099458992;2022-10-15
2022;11;37.7200012207031;2022-11-15
